measnum,mpdsector,projsym,varname,descrip,units,method,intervention,paneldesc,datatype,sextested,nstrainstested,ageweeks
23006,css,Jaxpheno5,bw08,"body weight, at age 8 wks",g,"body weight",,inbred,,both,10,8wks
23007,css,Jaxpheno5,bw09,"body weight, at age 9 wks",g,"body weight",,inbred,,both,10,9wks
23008,css,Jaxpheno5,bw10,"body weight, at age 10 wks",g,"body weight",,inbred,,both,10,10wks
23009,css,Jaxpheno5,bw11,"body weight, at age 11 wks",g,"body weight",,inbred,,both,10,11wks
23010,css,Jaxpheno5,bw12,"body weight, at age 12 wks",g,"body weight",,inbred,,both,10,12wks
23011,css,Jaxpheno5,bw13,"body weight, at age 13 wks",g,"body weight",,inbred,,both,10,13wks
23012,css,Jaxpheno5,bw14,"body weight, at age 14 wks",g,"body weight",,inbred,,both,10,14wks
23013,css,Jaxpheno5,bw15,"body weight, at age 15 wks",g,"body weight",,inbred,,both,10,15wks
23014,css,Jaxpheno5,bw16,"body weight, at age 16 wks",g,"body weight",,inbred,,both,10,16wks
23101,css,Jaxpheno6,pct_CD4_8,"splenic CD4 T cells (percentage of total viable cells), at age age 8wks",%,"immune cell quantification",,inbred,,both,11,8wks
23102,css,Jaxpheno6,pct_CD4_16,"splenic CD4 T cells (percentage of total viable cells), at age age 16wks",%,"immune cell quantification",,inbred,,both,8,16wks
23103,css,Jaxpheno6,pct_CD8_8,"splenic CD8 T cells (percentage of total viable cells), at age age 8wks",%,"immune cell quantification",,inbred,,both,11,8wks
23104,css,Jaxpheno6,pct_CD8_16,"splenic CD8 T cells (percentage of total viable cells), at age age 16wks",%,"immune cell quantification",,inbred,,both,8,16wks
23105,css,Jaxpheno6,pct_NKT_8,"splenic NK T cells (percentage of total viable cells), at age age 8wks",%,"immune cell quantification",,inbred,,both,11,8wks
23106,css,Jaxpheno6,pct_NKT_16,"splenic NK T cells (percentage of total viable cells), at age age 16wks",%,"immune cell quantification",,inbred,,both,8,16wks
23107,css,Jaxpheno6,pct_NK_8,"splenic NK cells (percentage of total viable cells), at age age 8wks",%,"immune cell quantification",,inbred,,both,11,8wks
23108,css,Jaxpheno6,pct_NK_16,"splenic NK cells (percentage of total viable cells), at age age 16wks",%,"immune cell quantification",,inbred,,both,8,16wks
23109,css,Jaxpheno6,pct_B_8,"splenic B cells (percentage of total viable cells), at age age 8wks",%,"immune cell quantification",,inbred,,both,11,8wks
23110,css,Jaxpheno6,pct_B_16,"splenic B cells (percentage of total viable cells), at age age 16wks",%,"immune cell quantification",,inbred,,both,8,16wks
23120,css,Jaxpheno6,pct_Granu8,"splenic granulocytes (percentage of total viable cells), at age age 8wks",%,"immune cell quantification",,inbred,,both,11,8wks
23121,css,Jaxpheno6,pct_Granu16,"splenic granulocytes (percentage of total viable cells), at age age 16wks",%,"immune cell quantification",,inbred,,both,8,16wks
23122,css,Jaxpheno6,pct_Mono8,"splenic monocytes (percentage of total viable cells), at age age 8wks",%,"immune cell quantification",,inbred,,both,11,8wks
23123,css,Jaxpheno6,pct_Mono16,"splenic monocytes (percentage of total viable cells), at age age 16wks",%,"immune cell quantification",,inbred,,both,8,16wks
23130,css,Jaxpheno6,bw8,"body weight, at age age 8wks",g,"body weight",,inbred,,both,11,8wks
23131,css,Jaxpheno6,bw16,"body weight, at age age 16wks",g,"body weight",,inbred,,both,8,
23201,css,Yuan2,lifespan_median,"median lifespan",d,"colony observation",,inbred,,both,31,varies
23401,css,Yuan2,lifespandays,"lifespan",d,"colony observation",,inbred,,both,31,varies
23601,css,Sugiyama1,pulse,"pulse rate",n/min,"tail cuff",,inbred,,m,25,10wks
23602,css,Sugiyama1,systolic_BP,"systolic blood pressure",mmHg,"tail cuff",,inbred,,m,25,10wks
23603,css,Sugiyama1,diastolic_BP,"diastolic blood pressure",mmHg,"tail cuff",,inbred,,m,25,10wks
23901,css,Eumorphia1,ALT,"alanine transaminase (plasma ALT)",IU/L,"metabolic panel",,inbred,,both,4,12wks
23902,css,Eumorphia1,ALP,"alkaline phosphatase (plasma ALP)",IU/L,"metabolic panel",,inbred,,both,4,12wks
23903,css,Eumorphia1,AST,"aspartate transaminase (plasma AST)",IU/L,"metabolic panel",,inbred,,both,4,12wks
23904,css,Eumorphia1,CK,"creatine kinase (plasma CK)",IU/L,"metabolic panel",,inbred,,both,4,12wks
23906,css,Eumorphia1,GLU,"glucose (plasma GLU, ??h fast)",mg/dL,"metabolic panel",,inbred,,both,6,12wks
23907,css,Eumorphia1,HDL,"HDL cholesterol (plasma HDL)",mg/dL,"lipid profile",,inbred,,both,4,12wks
23908,css,Eumorphia1,HGB,"hemoglobin volume (HGB)",g/dL,"complete blood count",,inbred,,both,6,12wks
23909,css,Eumorphia1,LDH,"lactate dehydrogenase (plasma LDH)",IU/L,"metabolic panel",,inbred,,both,4,12wks
23910,css,Eumorphia1,LDL,"non-HDL cholesterol (plasma non-HDL)",mg/dL,"lipid profile",,inbred,,both,4,12wks
23911,css,Eumorphia1,MCH,"mean RBC corpuscular hemoglobin content (MCH)",pg,"complete blood count",,inbred,,both,6,12wks
23912,css,Eumorphia1,MCHC,"mean RBC corpuscular hemoglobin concentration (MCHC)",g/dL,"complete blood count",,inbred,,both,6,12wks
23913,css,Eumorphia1,MCV,"mean RBC corpuscular volume (MCV)",fL,"complete blood count",,inbred,,both,6,12wks
23914,css,Eumorphia1,PLT,"platelet count (PLT; units per volume x 10<sup>3</sup>)",n/&micro;L,"complete blood count",,inbred,,both,6,12wks
23915,css,Eumorphia1,RBC,"red blood cell count (RBC; per volume x 10<sup>6</sup>)",n/&micro;L,"complete blood count",,inbred,,both,6,12wks
23916,css,Eumorphia1,WBC,"white blood cell count (WBC; per volume x 10<sup>3</sup>)",n/&micro;L,"complete blood count",,inbred,,both,6,12wks
23917,css,Eumorphia1,ALB,"albumin (plasma Alb)",g/dL,"metabolic panel",,inbred,,both,6,12wks
23918,css,Eumorphia1,amylase,"plasma alpha-amylase",IU/L,"metabolic panel",,inbred,,both,4,12wks
23919,css,Eumorphia1,calcium,"calcium (plasma Ca)",mg/dL,"metabolic panel",,inbred,,both,6,12wks
23920,css,Eumorphia1,chloride,"chloride (plasma Cl)",mmol/L,"metabolic panel",,inbred,,both,6,12wks
23921,css,Eumorphia1,CHOL,"total cholesterol (plasma CHOL)",mg/dL,"lipid profile",,inbred,,both,6,12wks
23922,css,Eumorphia1,creatinine,"plasma creatinine",mg/dL,"metabolic panel",,inbred,,both,6,12wks
23923,css,Eumorphia1,ferritin,"plasma ferritin",mg/mL,"metabolic panel",,inbred,,both,4,12wks
23924,css,Eumorphia1,FFA,"free fatty acids (plasma FFA)",mmol/L,"lipid profile",,inbred,,both,4,12wks
23925,css,Eumorphia1,iron,"iron (plasma Fe)",&micro;mol/L,"metabolic panel",,inbred,,both,4,12wks
23926,css,Eumorphia1,LYMP,"lymphocyte count (LYMP; units per volume x 10<sup>3</sup>)",n/&micro;L,"complete blood count",,inbred,,both,4,12wks
23927,css,Eumorphia1,MONO,"monocyte count (MONO; units per volume x 10<sup>3</sup>)",n/&micro;L,"complete blood count",,inbred,,both,4,12wks
23928,css,Eumorphia1,phosphorus,"phosphorus (plasma P)",mg/dL,"metabolic panel",,inbred,,both,6,12wks
23929,css,Eumorphia1,potassium,"potassium (plasma K)",mmol/L,"metabolic panel",,inbred,,both,6,12wks
23930,css,Eumorphia1,sodium,"sodium (plasma Na)",mmol/L,"metabolic panel",,inbred,,both,6,12wks
23931,css,Eumorphia1,TBIL,"total bilirubin (plasma TBIL)",&micro;mol/L,"metabolic panel",,inbred,,both,4,12wks
23932,css,Eumorphia1,total,"total protein (plasma TP)",g/dL,"metabolic panel",,inbred,,both,6,12wks
23933,css,Eumorphia1,transferrin,"plasma transferrin",mg/mL,"metabolic panel",,inbred,,both,4,12wks
23934,css,Eumorphia1,TG,"triglycerides (plasma TG)",mg/dL,"lipid profile",,inbred,,both,6,12wks
23935,css,Eumorphia1,BUN,"blood urea nitrogen (BUN)",mg/dL,"metabolic panel",,inbred,,both,6,12wks
23936,css,Eumorphia1,uric_acid,"plasma uric acid",mg/dL,"metabolic panel",,inbred,,both,4,12wks
24001,qtla,Leiter2,Onset,"age of diabetes onset (dash = no diabetes)",wks,"health assessment",,"QTL population",,f,,14-40wks
24002,qtla,Leiter2,DB1_0,"1 = diabetes, 0 = no diabetes",score,"health assessment",,"QTL population",,f,,14-40wks
24003,qtla,Leiter2,Insulities_TimeOnset,"combination score of age at type 1 diabetes onset, and insulitis severity / extent (see excel file)",score,histopathology,,"QTL population",,f,,14-40wks
24004,qtla,Leiter2,Insulitis,"insulitis severity / extent score (0-4, see excel file)",score,histopathology,,"QTL population",,f,,14-40wks
24005,qtla,Leiter2,GroupInsulitis_Diabetes,"group mice by insulitis score (0-3, see excel file)",score,histopathology,,"QTL population",,f,,14-40wks
24006,qtla,Leiter2,30wk,"body weight at 30 wks of age (if alive, mice were sacrificed when determined to be diabetic 2 wks in a row)",g,"body weight",,"QTL population",,f,,30wks
24007,qtla,Leiter2,40wk,"body weight at 40 wks of age (if alive, mice were sacrificed when determined to be diabetic 2 wks in a row)",g,"body weight",,"QTL population",,f,,40wks
24008,qtla,Leiter2,BW,"body weight of whole mouse at time of DXA",g,"body weight",,"QTL population",,f,,14-40wks
24009,qtla,Leiter2,BMD,"bone mineral density (BMD), as determined by DXA, head excluded",g/cm<sup>2</sup>,DXA,,"QTL population",,f,,14-40wks
24010,qtla,Leiter2,BMC,"bone mineral content (BMC), as determined by DXA, head excluded",g,DXA,,"QTL population",,f,,14-40wks
24011,qtla,Leiter2,Area,"bone mineral area, as determined by DXA, head excluded",cm<sup>2</sup>,DXA,,"QTL population",,f,,14-40wks
24012,qtla,Leiter2,Lean,"weight of muscle and organs, as determined by DXA",g,DXA,,"QTL population",,f,,14-40wks
24013,qtla,Leiter2,Fat,"weight of fat, as determined by DXA",g,DXA,,"QTL population",,f,,14-40wks
24014,qtla,Leiter2,Total,"total weight, as determined by DXA",g,DXA,,"QTL population",,f,,14-40wks
24015,qtla,Leiter2,%Fat,"percentage of fat of total weight as determined by DXA",%,DXA,,"QTL population",,f,,14-40wks
24016,qtla,Leiter2,Leptin,"leptin in plasma",ng/mL,"hormone quantification",,"QTL population",,f,,14-40wks
24017,qtla,Leiter2,Insulin,"insulin in plasma",ng/mL,"hormone quantification",,"QTL population",,f,,14-40wks
24018,qtla,Leiter2,CHOL,"total cholesterol in plasma",mg/dL,"lipid profile",,"QTL population",,f,,14-40wks
24019,qtla,Leiter2,HDLD,"HDLD cholesterol in plasma",mg/dL,"lipid profile",,"QTL population",,f,,14-40wks
24020,qtla,Leiter2,Glucose,"glucose in plasma",mg/dL,"metabolic panel",,"QTL population",,f,,14-40wks
24021,qtla,Leiter2,NEFA,"non-Esterified Fatty Acids in plasma",mEq/L,"lipid profile",,"QTL population",,f,,14-40wks
24022,qtla,Leiter2,TG,"triglycerides in plasma",mg/dL,"lipid profile",,"QTL population",,f,,14-40wks
24101,qtla,Rodriguez1,CMV_LEVELS,"spleen and liver murine cytomegalovirus genome levels (normalized to endogenous b-actin)",ratio,"in vitro assay",,"QTL population",,both,,8-12wks
24201,css,Petkova1,WBC_M06,"white blood cell count (WBC; per volume x 10<sup>3</sup>), at age 6mo",n/&micro;L,"immune cell quantification",,inbred,,both,32,26wks
24202,css,Petkova1,WBC_M12,"white blood cell count (WBC; per volume x 10<sup>3</sup>), at age 12mo",n/&micro;L,"immune cell quantification",,inbred,,both,31,52wks
24203,css,Petkova1,WBC_M18,"white blood cell count (WBC; per volume x 10<sup>3</sup>), at age 18mo",n/&micro;L,"immune cell quantification",,inbred,,both,30,78wks
24204,css,Petkova1,WBC_M24,"white blood cell count (WBC; per volume x 10<sup>3</sup>), at age 24mo",n/&micro;L,"immune cell quantification",,inbred,,both,12,104wks
24206,css,Petkova1,LYM_M06,"lymphocyte differential (LYM; percentage of total WBC), at age 6mo",%,"immune cell quantification",,inbred,,both,32,26wks
24207,css,Petkova1,LYM_M12,"lymphocyte differential (LYM; percentage of total WBC), at age 12mo",%,"immune cell quantification",,inbred,,both,31,52wks
24208,css,Petkova1,LYM_M18,"lymphocyte differential (LYM; percentage of total WBC), at age 18mo",%,"immune cell quantification",,inbred,,both,30,78wks
24209,css,Petkova1,LYM_M24,"lymphocyte differential (LYM; percentage of total WBC), at age 24mo",%,"immune cell quantification",,inbred,,both,12,104wks
24211,css,Petkova1,NEUT_M06,"neutrophil differential (NEUT; percentage of total WBC), at age 6mo",%,"immune cell quantification",,inbred,,both,32,26wks
24212,css,Petkova1,NEUT_M12,"neutrophil differential (NEUT; percentage of total WBC), at age 12mo",%,"immune cell quantification",,inbred,,both,31,52wks
24213,css,Petkova1,NEUT_M18,"neutrophil differential (NEUT; percentage of total WBC), at age 18mo",%,"immune cell quantification",,inbred,,both,30,78wks
24214,css,Petkova1,NEUT_M24,"neutrophil differential (NEUT; percentage of total WBC), at age 24mo",%,"immune cell quantification",,inbred,,both,12,104wks
24216,css,Petkova1,EOS_M06,"eosinophil differential (EOS; percentage of total WBC), at age 6mo",%,"immune cell quantification",,inbred,,both,32,26wks
24217,css,Petkova1,EOS_M12,"eosinophil differential (EOS; percentage of total WBC), at age 12mo",%,"immune cell quantification",,inbred,,both,31,52wks
24218,css,Petkova1,EOS_M18,"eosinophil differential (EOS; percentage of total WBC), at age 18mo",%,"immune cell quantification",,inbred,,both,30,78wks
24219,css,Petkova1,EOS_M24,"eosinophil differential (EOS; percentage of total WBC), at age 24mo",%,"immune cell quantification",,inbred,,both,12,104wks
24221,css,Petkova1,MONO_M06,"monocyte differential (MONO; percentage of total WBC), at age 6mo",%,"immune cell quantification",,inbred,,both,32,26wks
24222,css,Petkova1,MONO_M12,"monocyte differential (MONO; percentage of total WBC), at age 12mo",%,"immune cell quantification",,inbred,,both,31,52wks
24223,css,Petkova1,MONO_M18,"monocyte differential (MONO; percentage of total WBC), at age 18mo",%,"immune cell quantification",,inbred,,both,30,78wks
24224,css,Petkova1,MONO_M24,"monocyte differential (MONO; percentage of total WBC), at age 24mo",%,"immune cell quantification",,inbred,,both,12,104wks
24225,css,Petkova1,B_cells_M06,"B cells, as percentage of total lymphocytes, at age 6mo",%,"immune cell quantification",,inbred,,both,32,26wks
24226,css,Petkova1,B_cells_M12,"B cells, as percentage of total lymphocytes, at age 12mo",%,"immune cell quantification",,inbred,,both,31,52wks
24227,css,Petkova1,B_cells_M18,"B cells, as percentage of total lymphocytes, at age 18mo",%,"immune cell quantification",,inbred,,both,30,78wks
24228,css,Petkova1,B_cells_M24,"B cells, as percentage of total lymphocytes, at age 24mo",%,"immune cell quantification",,inbred,,both,12,104wks
24229,css,Petkova1,CD4_all_M06,"CD4 T cells, as percentage of total lymphocytes, at age 6mo",%,"immune cell quantification",,inbred,,both,32,26wks
24230,css,Petkova1,CD4_all_M12,"CD4 T cells, as percentage of total lymphocytes, at age 12mo",%,"immune cell quantification",,inbred,,both,31,52wks
24231,css,Petkova1,CD4_all_M18,"CD4 T cells, as percentage of total lymphocytes, at age 18mo",%,"immune cell quantification",,inbred,,both,30,78wks
24232,css,Petkova1,CD4_all_M24,"CD4 T cells, as percentage of total lymphocytes, at age 24mo",%,"immune cell quantification",,inbred,,both,12,104wks
24233,css,Petkova1,CD4_naive_M06,"CD4 T cells, naive, as percentage of total CD4 T cells, at age 6mo",%,"immune cell quantification",,inbred,,both,32,26wks
24234,css,Petkova1,CD4_naive_M12,"CD4 T cells, naive, as percentage of total CD4 T cells, at age 12mo",%,"immune cell quantification",,inbred,,both,31,52wks
24235,css,Petkova1,CD4_naive_M18,"CD4 T cells, naive, as percentage of total CD4 T cells, at age 18mo",%,"immune cell quantification",,inbred,,both,30,78wks
24236,css,Petkova1,CD4_naive_M24,"CD4 T cells, naive, as percentage of total CD4 T cells, at age 24mo",%,"immune cell quantification",,inbred,,both,12,104wks
24237,css,Petkova1,CD4_mem_central_M06,"CD4 T cells, central memory, as percentage of total CD4 T cells, at age 6mo",%,"immune cell quantification",,inbred,,both,32,26wks
24238,css,Petkova1,CD4_mem_central_M12,"CD4 T cells, central memory, as percentage of total CD4 T cells, at age 12mo",%,"immune cell quantification",,inbred,,both,31,52wks
24239,css,Petkova1,CD4_mem_central_M18,"CD4 T cells, central memory, as percentage of total CD4 T cells, at age 18mo",%,"immune cell quantification",,inbred,,both,30,78wks
24240,css,Petkova1,CD4_mem_central_M24,"CD4 T cells, central memory, as percentage of total CD4 T cells, at age 24mo",%,"immune cell quantification",,inbred,,both,12,104wks
24241,css,Petkova1,CD4_mem_effector_M06,"CD4 T cells, effector memory, as percentage of total CD4 T cells, at age 6mo",%,"immune cell quantification",,inbred,,both,32,26wks
24242,css,Petkova1,CD4_mem_effector_M12,"CD4 T cells, effector memory, as percentage of total CD4 T cells, at age 12mo",%,"immune cell quantification",,inbred,,both,31,52wks
24243,css,Petkova1,CD4_mem_effector_M18,"CD4 T cells, effector memory, as percentage of total CD4 T cells, at age 18mo",%,"immune cell quantification",,inbred,,both,30,78wks
24244,css,Petkova1,CD4_mem_effector_M24,"CD4 T cells, effector memory, as percentage of total CD4 T cells, at age 24mo",%,"immune cell quantification",,inbred,,both,12,104wks
24246,css,Petkova1,CD4_effector_M06,"CD4 T cells, effector, as percentage of total CD4 T cells, at age 6mo",%,"immune cell quantification",,inbred,,both,32,26wks
24247,css,Petkova1,CD4_effector_M12,"CD4 T cells, effector, as percentage of total CD4 T cells, at age 12mo",%,"immune cell quantification",,inbred,,both,31,52wks
24248,css,Petkova1,CD4_effector_M18,"CD4 T cells, effector, as percentage of total CD4 T cells, at age 18mo",%,"immune cell quantification",,inbred,,both,30,78wks
24249,css,Petkova1,CD4_effector_M24,"CD4 T cells, effector, as percentage of total CD4 T cells, at age 24mo",%,"immune cell quantification",,inbred,,both,12,104wks
24251,css,Petkova1,CD8_all_M06,"CD8 T cells, as percentage of total lymphocytes, at age 6mo",%,"immune cell quantification",,inbred,,both,32,26wks
24252,css,Petkova1,CD8_all_M12,"CD8 T cells, as percentage of total lymphocytes, at age 12mo",%,"immune cell quantification",,inbred,,both,31,52wks
24253,css,Petkova1,CD8_all_M18,"CD8 T cells, as percentage of total lymphocytes, at age 18mo",%,"immune cell quantification",,inbred,,both,30,78wks
24254,css,Petkova1,CD8_all_M24,"CD8 T cells, as percentage of total lymphocytes, at age 24mo",%,"immune cell quantification",,inbred,,both,12,104wks
24256,css,Petkova1,CD8_naive_M06,"CD8 T cells, naive, as percentage of total CD8 T cells, at age 6mo",%,"immune cell quantification",,inbred,,both,32,26wks
24257,css,Petkova1,CD8_naive_M12,"CD8 T cells, naive, as percentage of total CD8 T cells, at age 12mo",%,"immune cell quantification",,inbred,,both,31,52wks
24258,css,Petkova1,CD8_naive_M18,"CD8 T cells, naive, as percentage of total CD8 T cells, at age 18mo",%,"immune cell quantification",,inbred,,both,30,78wks
24259,css,Petkova1,CD8_naive_M24,"CD8 T cells, naive, as percentage of total CD8 T cells, at age 24mo",%,"immune cell quantification",,inbred,,both,12,104wks
24261,css,Petkova1,CD8_mem_central_M06,"CD8 T cells, central memory, as percentage of total CD8 T cells, at age 6mo",%,"immune cell quantification",,inbred,,both,32,26wks
24262,css,Petkova1,CD8_mem_central_M12,"CD8 T cells, central memory, as percentage of total CD8 T cells, at age 12mo",%,"immune cell quantification",,inbred,,both,31,52wks
24263,css,Petkova1,CD8_mem_central_M18,"CD8 T cells, central memory, as percentage of total CD8 T cells, at age 18mo",%,"immune cell quantification",,inbred,,both,30,78wks
24264,css,Petkova1,CD8_mem_central_M24,"CD8 T cells, central memory, as percentage of total CD8 T cells, at age 24mo",%,"immune cell quantification",,inbred,,both,12,104wks
24266,css,Petkova1,CD8_mem_effector_M06,"CD8 T cells, effector memory, as percentage of total CD8 T cells, at age 6mo",%,"immune cell quantification",,inbred,,both,32,26wks
24267,css,Petkova1,CD8_mem_effector_M12,"CD8 T cells, effector memory, as percentage of total CD8 T cells, at age 12mo",%,"immune cell quantification",,inbred,,both,31,52wks
24268,css,Petkova1,CD8_mem_effector_M18,"CD8 T cells, effector memory, as percentage of total CD8 T cells, at age 18mo",%,"immune cell quantification",,inbred,,both,30,78wks
24269,css,Petkova1,CD8_mem_effector_M24,"CD8 T cells, effector memory, as percentage of total CD8 T cells, at age 24mo",%,"immune cell quantification",,inbred,,both,12,104wks
24271,css,Petkova1,CD8_effector_M06,"CD8 T cells, effector, as percentage of total CD8 T cells, at age 6mo",%,"immune cell quantification",,inbred,,both,32,26wks
24272,css,Petkova1,CD8_effector_M12,"CD8 T cells, effector, as percentage of total CD8 T cells, at age 12mo",%,"immune cell quantification",,inbred,,both,31,52wks
24273,css,Petkova1,CD8_effector_M18,"CD8 T cells, effector, as percentage of total CD8 T cells, at age 18mo",%,"immune cell quantification",,inbred,,both,30,78wks
24274,css,Petkova1,CD8_effector_M24,"CD8 T cells, effector, as percentage of total CD8 T cells, at age 24mo",%,"immune cell quantification",,inbred,,both,12,104wks
24276,css,Petkova1,NK_M06,"natural killer (NK) cells, as percentage of total lymphocytes, at age 6mo",%,"immune cell quantification",,inbred,,both,32,26wks
24277,css,Petkova1,NK_M12,"natural killer (NK) cells, as percentage of total lymphocytes, at age 12mo",%,"immune cell quantification",,inbred,,both,31,52wks
24278,css,Petkova1,NK_M18,"natural killer (NK) cells, as percentage of total lymphocytes, at age 18mo",%,"immune cell quantification",,inbred,,both,30,78wks
24279,css,Petkova1,NK_M24,"natural killer (NK) cells, as percentage of total lymphocytes, at age 24mo",%,"immune cell quantification",,inbred,,both,12,104wks
24301,css,Peters4,WBC_M06,"white blood cell count (WBC; per volume x 10<sup>3</sup>), at age 6mo",n/&micro;L,"complete blood count",,inbred,,both,30,26wks
24302,css,Peters4,WBC_M12,"white blood cell count (WBC; per volume x 10<sup>3</sup>), at age 12mo",n/&micro;L,"complete blood count",,inbred,,both,30,52wks
24303,css,Peters4,WBC_M18,"white blood cell count (WBC; per volume x 10<sup>3</sup>), at age 18mo",n/&micro;L,"complete blood count",,inbred,,both,30,78wks
24304,css,Peters4,WBC_M24,"white blood cell count (WBC; per volume x 10<sup>3</sup>), at age 24mo",n/&micro;L,"complete blood count",,inbred,,both,13,104wks
24305,css,Peters4,RBC_M06,"red blood cell count (RBC; per volume x 10<sup>6</sup>), at age 6mo",n/&micro;L,"complete blood count",,inbred,,both,30,26wks
24306,css,Peters4,RBC_M12,"red blood cell count (RBC; per volume x 10<sup>6</sup>), at age 12mo",n/&micro;L,"complete blood count",,inbred,,both,30,52wks
24307,css,Peters4,RBC_M18,"red blood cell count (RBC; per volume x 10<sup>6</sup>), at age 18mo",n/&micro;L,"complete blood count",,inbred,,both,30,78wks
24308,css,Peters4,RBC_M24,"red blood cell count (RBC; per volume x 10<sup>6</sup>), at age 24mo",n/&micro;L,"complete blood count",,inbred,,both,13,104wks
24309,css,Peters4,NEUT_M06,"neutrophil count (NEUT; units per volume x 10<sup>3</sup>), at age 6mo",n/&micro;L,"complete blood count",,inbred,,both,30,26wks
24310,css,Peters4,NEUT_M12,"neutrophil count (NEUT; units per volume x 10<sup>3</sup>), at age 12mo",n/&micro;L,"complete blood count",,inbred,,both,30,52wks
24311,css,Peters4,NEUT_M18,"neutrophil count (NEUT; units per volume x 10<sup>3</sup>), at age 18mo",n/&micro;L,"complete blood count",,inbred,,both,30,78wks
24312,css,Peters4,NEUT_M24,"neutrophil count (NEUT; units per volume x 10<sup>3</sup>), at age 24mo",n/&micro;L,"complete blood count",,inbred,,both,13,104wks
24313,css,Peters4,LYMPH_M06,"lymphocyte count (LYM; units per volume x 10<sup>3</sup>), at age 6mo",n/&micro;L,"complete blood count",,inbred,,both,30,26wks
24314,css,Peters4,LYMPH_M12,"lymphocyte count (LYM; units per volume x 10<sup>3</sup>), at age 12mo",n/&micro;L,"complete blood count",,inbred,,both,30,52wks
24315,css,Peters4,LYMPH_M18,"lymphocyte count (LYM; units per volume x 10<sup>3</sup>), at age 18mo",n/&micro;L,"complete blood count",,inbred,,both,30,78wks
24316,css,Peters4,LYMPH_M24,"lymphocyte count (LYM; units per volume x 10<sup>3</sup>), at age 24mo",n/&micro;L,"complete blood count",,inbred,,both,13,104wks
24317,css,Peters4,MONO_M06,"monocyte count (MONO; units per volume x 10<sup>3</sup>), at age 6mo",n/&micro;L,"complete blood count",,inbred,,both,30,26wks
24318,css,Peters4,MONO_M12,"monocyte count (MONO; units per volume x 10<sup>3</sup>), at age 12mo",n/&micro;L,"complete blood count",,inbred,,both,30,52wks
24319,css,Peters4,MONO_M18,"monocyte count (MONO; units per volume x 10<sup>3</sup>), at age 18mo",n/&micro;L,"complete blood count",,inbred,,both,30,78wks
24320,css,Peters4,MONO_M24,"monocyte count (MONO; units per volume x 10<sup>3</sup>), at age 24mo",n/&micro;L,"complete blood count",,inbred,,both,13,104wks
24321,css,Peters4,EOS_M06,"eosinophil count (EOS; units per volume x 10<sup>3</sup>), at age 6mo",n/&micro;L,"complete blood count",,inbred,,both,30,26wks
24322,css,Peters4,EOS_M12,"eosinophil count (EOS; units per volume x 10<sup>3</sup>), at age 12mo",n/&micro;L,"complete blood count",,inbred,,both,30,52wks
24323,css,Peters4,EOS_M18,"eosinophil count (EOS; units per volume x 10<sup>3</sup>), at age 18mo",n/&micro;L,"complete blood count",,inbred,,both,30,78wks
24324,css,Peters4,EOS_M24,"eosinophil count (EOS; units per volume x 10<sup>3</sup>), at age 24mo",n/&micro;L,"complete blood count",,inbred,,both,13,104wks
24325,css,Peters4,BASO_M06,"basophil count (BASO; units per volume x 10<sup>3</sup>), at age 6mo",n/&micro;L,"complete blood count",,inbred,,both,30,26wks
24326,css,Peters4,BASO_M12,"basophil count (BASO; units per volume x 10<sup>3</sup>), at age 12mo",n/&micro;L,"complete blood count",,inbred,,both,30,52wks
24327,css,Peters4,BASO_M18,"basophil count (BASO; units per volume x 10<sup>3</sup>), at age 18mo",n/&micro;L,"complete blood count",,inbred,,both,30,78wks
24328,css,Peters4,BASO_M24,"basophil count (BASO; units per volume x 10<sup>3</sup>), at age 24mo",n/&micro;L,"complete blood count",,inbred,,both,13,104wks
24329,css,Peters4,LUC_M06,"large unstained cells count (LUC; units per volume x 10<sup>3</sup>), at age 6mo",n/&micro;L,"complete blood count",,inbred,,both,30,26wks
24330,css,Peters4,LUC_M12,"large unstained cells count (LUC; units per volume x 10<sup>3</sup>), at age 12mo",n/&micro;L,"complete blood count",,inbred,,both,30,52wks
24331,css,Peters4,LUC_M18,"large unstained cells count (LUC; units per volume x 10<sup>3</sup>), at age 18mo",n/&micro;L,"complete blood count",,inbred,,both,30,78wks
24332,css,Peters4,LUC_M24,"large unstained cells count (LUC; units per volume x 10<sup>3</sup>), at age 24mo",n/&micro;L,"complete blood count",,inbred,,both,13,104wks
24333,css,Peters4,pctNEUT_M06,"neutrophil differential (NEUT; percentage of total WBC), at age 6mo",%,"complete blood count",,inbred,,both,30,26wks
24334,css,Peters4,pctNEUT_M12,"neutrophil differential (NEUT; percentage of total WBC), at age 12mo",%,"complete blood count",,inbred,,both,30,52wks
24335,css,Peters4,pctNEUT_M18,"neutrophil differential (NEUT; percentage of total WBC), at age 18mo",%,"complete blood count",,inbred,,both,30,78wks
24336,css,Peters4,pctNEUT_M24,"neutrophil differential (NEUT; percentage of total WBC), at age 24mo",%,"complete blood count",,inbred,,both,13,104wks
24337,css,Peters4,pctLYMPH_M06,"lymphocyte differential (LYM; percentage of total WBC), at age 6mo",%,"complete blood count",,inbred,,both,30,26wks
24338,css,Peters4,pctLYMPH_M12,"lymphocyte differential (LYM; percentage of total WBC), at age 12mo",%,"complete blood count",,inbred,,both,30,52wks
